epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3713,3.0536,7.7446,2.62847,0,0,0,0,2.72628,9.32595,3.65446,5.555e-05,5.555e-05,5.555e-05
2,22.8772,2.79021,4.85581,2.18853,0,0,0,0,2.43466,8.84665,3.26861,6.17161e-05,6.17161e-05,6.17161e-05
